developer,game_count,avg_positive_ratio,total_owners,best_game,total_owners_M
#workshop,3,95.2,450000.0,7974,0.45
011 Games,1,96.6,75000.0,9943,0.08
07th Expansion,1,96.3,350000.0,5145,0.35
0x0Real Studio,1,93.8,150000.0,7301,0.15
1-reality,1,69.0,750000.0,2099,0.75
10 Chambers,1,84.3,3500000.0,649,3.5
100 Stones Interactive,1,83.0,75000.0,9406,0.08
1001 Studio,1,89.8,350000.0,5029,0.35
101XP GAME STUDIOS,1,71.2,350000.0,4879,0.35
1047 Games,1,91.6,7500000.0,181,7.5
10F,2,82.4,300000.0,5991,0.3
"10th Art Studio, Daring Touch",1,74.4,150000.0,9107,0.15
10tons Ltd,4,90.9,1325000.0,2578,1.32
11 bit studios,8,82.8,9700000.0,249,9.7
11Sheep,1,92.9,75000.0,9695,0.08
1336 Studios,1,79.1,350000.0,3159,0.35
14° East,1,79.0,750000.0,2496,0.75
16bit Nights,2,55.2,1100000.0,1607,1.1
17-BIT,2,81.5,700000.0,4020,0.7
1917 Studios,1,87.6,150000.0,9176,0.15
1939 Games,1,73.8,3500000.0,506,3.5
1C Game Studios,1,79.1,350000.0,2994,0.35
"1C Game Studios, 777 Studios",1,56.3,750000.0,2434,0.75
1C: Maddox Games,2,77.3,500000.0,3116,0.5
1C:InoCo,2,71.7,700000.0,3450,0.7
1MB,1,72.2,350000.0,4043,0.35
1bit,1,55.6,150000.0,6960,0.15
2 Monkeys,1,77.4,150000.0,5772,0.15
2 Zombie Games,1,80.8,350000.0,3514,0.35
2015,1,68.8,150000.0,6229,0.15
22cans,1,24.9,350000.0,3643,0.35
24 Caret Games,1,83.9,150000.0,9240,0.15
24 Entertainment,1,69.5,15000000.0,49,15.0
"2Chance Projects, IIchan Eroge Team",1,89.9,150000.0,6620,0.15
2D BOY,1,94.4,1500000.0,1283,1.5
2DArray,1,78.8,150000.0,7198,0.15
"2K Australia, Gearbox Software, Aspyr (Linux)",1,79.2,3500000.0,313,3.5
"2K Boston, 2K Australia",1,94.2,3500000.0,286,3.5
"2K Boston, 2K Australia, Blind Squirrel, Feral Interactive (Mac)",1,82.3,3500000.0,353,3.5
2K Czech,1,94.3,3500000.0,356,3.5
2K Marin,1,70.2,3500000.0,595,3.5
"2K Marin, 2K China, Digital Extremes, 2K Australia",1,89.2,1500000.0,857,1.5
"2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel, Feral Interactive (Mac)",1,70.8,3500000.0,589,3.5
"2OO2, VN",1,89.4,150000.0,6513,0.15
2SD,1,65.3,150000.0,5880,0.15
2pt Interactive,1,95.5,350000.0,2812,0.35
2x2 Games,1,78.6,150000.0,7650,0.15
"2x2 Games, Croteam",1,80.6,150000.0,7052,0.15
3 Sprockets,2,75.0,300000.0,7095,0.3
30.06 Studios Ltd,1,45.2,350000.0,5081,0.35
343 Industries,1,69.7,15000000.0,59,15.0
"343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",1,92.4,7500000.0,165,7.5
"343 Industries, Vanguard Games",1,80.4,350000.0,4730,0.35
34BigThings srl,3,75.4,1650000.0,2425,1.65
3D Aim Trainer,1,86.7,350000.0,4178,0.35
3Division,1,91.1,750000.0,1998,0.75
3X Entertainment Limited,1,46.4,150000.0,8680,0.15
3f Interactive,2,76.7,900000.0,2079,0.9
4 Dimension Games,1,89.7,150000.0,7316,0.15
4 I Lab,1,62.4,750000.0,2385,0.75
4A Games,3,90.6,14500000.0,224,14.5
4Fishing,1,52.4,150000.0,6688,0.15
4G,1,95.8,750000.0,1615,0.75
4HEAD Studios,3,72.3,650000.0,2730,0.65
4rtisans,1,88.9,350000.0,5400,0.35
5 Bits Games,1,85.0,350000.0,5574,0.35
5 Lives Studios,1,71.5,1500000.0,1239,1.5
59 Studio,1,85.0,150000.0,7416,0.15
5minlab Corp.,1,94.9,150000.0,7604,0.15
5th Cell Media,2,87.9,1850000.0,1194,1.85
6 Eyes Studio,1,88.2,750000.0,2652,0.75
648工作室,1,86.4,350000.0,5039,0.35
7Road,1,63.8,75000.0,9422,0.08
7th Beat Games,2,96.2,4250000.0,641,4.25
800 North and Digital Ranch,1,84.1,1500000.0,1005,1.5
8A studio,1,93.6,150000.0,6295,0.15
8BitSkull,1,89.6,150000.0,6794,0.15
8Floor,3,72.0,7800000.0,186,7.8
90Games,1,62.3,350000.0,4102,0.35
91Act,1,95.1,750000.0,2140,0.75
98DEMAKE,1,85.3,150000.0,7805,0.15
99Games Online Pvt. Ltd.,1,57.3,150000.0,8675,0.15
9FingerGames,1,85.8,350000.0,3840,0.35
9heads Game Studios,1,70.6,350000.0,3726,0.35
@unepic_fran,3,92.0,1250000.0,2147,1.25
A Crowd of Monsters,1,62.4,150000.0,8946,0.15
A Grumpy Fox,1,96.3,150000.0,8738,0.15
A Sweet Studio,1,76.0,150000.0,8521,0.15
A. Strazhev,1,70.1,150000.0,8852,0.15
A.Y.std,2,78.2,500000.0,3950,0.5
A2 Softworks,1,87.0,150000.0,7317,0.15
ACE MADDOX,1,71.5,150000.0,8906,0.15
ACE Team,6,82.1,2300000.0,2581,2.3
"ACE Team, Giant Monkey Robot",1,74.9,150000.0,8022,0.15
ACQUIRE Corp.,4,81.3,1000000.0,3157,1.0
ACTION SQUARE,1,61.3,150000.0,7223,0.15
ADOG,1,85.3,150000.0,5982,0.15
AEXLAB,1,77.4,350000.0,3900,0.35
AFOG,3,79.4,375000.0,8402,0.38
AG SOFT,1,73.8,150000.0,9339,0.15
AG media,1,55.7,350000.0,3009,0.35
AGC,1,34.4,750000.0,2483,0.75
AIDIS,1,74.6,150000.0,6729,0.15
AIHASTO,2,95.5,1650000.0,742,1.65
AIRSTRAFE INTERACTIVE,1,87.8,75000.0,9804,0.08
AIVIK LLC,2,71.2,300000.0,6518,0.3
AK Studio,1,71.3,150000.0,9147,0.15
ALICE IN DISSONANCE,1,92.5,150000.0,6082,0.15
"ALLM Co., Ltd.",1,76.4,750000.0,1585,0.75
ALPHAWING Inc.,1,87.7,350000.0,5568,0.35
ALT Lab,2,78.2,900000.0,2009,0.9
ALTAR Interactive,1,74.2,150000.0,8894,0.15
ALTARI GAMES,1,85.7,150000.0,6190,0.15
AMPLITUDE Studios,7,79.8,10000000.0,647,10.0
"AN Productions, Poxpower",2,94.4,1500000.0,1697,1.5
AQUIRIS,1,93.0,350000.0,4491,0.35
AQURIA,1,79.2,350000.0,3238,0.35
"AQURIA Co., Ltd.",2,69.4,500000.0,4496,0.5
ARC SYSTEM WORKS,1,78.0,150000.0,7045,0.15
ARPSEL,1,76.7,150000.0,7908,0.15
ARTDINK,1,63.0,750000.0,1975,0.75
ASK Homework,1,40.1,750000.0,1883,0.75
ASTRO PORT,1,75.5,150000.0,9117,0.15
ASTRUM LAB,1,64.9,350000.0,4747,0.35
ATC Games,1,80.4,150000.0,8496,0.15
ATICO,1,91.1,150000.0,6497,0.15
ATLUS,10,88.1,11050000.0,637,11.05
AURORA Games,1,58.2,150000.0,8330,0.15
AXC GAMES,1,44.8,350000.0,4649,0.35
AZGames,1,97.4,75000.0,9866,0.08
"Aardman Animations, Digixart",1,85.9,150000.0,6197,0.15
