publisher,game_count,total_owners,avg_positive_ratio,total_reviews,avg_price_eur,peak_ccu,total_owners_M
Valve,33,568200000.0,90.0,14138556,9.39,1013936,568.2
Electronic Arts,110,364500000.0,78.4,4818220,25.24,124262,364.5
Ubisoft,117,205075000.0,77.4,4073088,6.58,51847,205.08
Rockstar Games,23,171975000.0,82.6,3526282,20.2,67851,171.98
"KRAFTON, Inc.",8,158400000.0,77.4,2705196,26.24,314682,158.4
Amazon Games,3,153500000.0,60.9,499643,20.0,17355,153.5
Activision,46,151300000.0,81.8,1463546,32.84,67419,151.3
Bethesda Softworks,56,148000000.0,81.8,3242623,23.56,25085,148.0
"CAPCOM Co., Ltd.",38,122325000.0,82.8,2060809,35.52,14920,122.32
Xbox Game Studios,52,117350000.0,84.6,2597871,24.84,13465,117.35
SEGA,105,103650000.0,84.5,1280519,23.04,47931,103.65
2K,72,93575000.0,73.1,1249346,16.74,27486,93.58
Paradox Interactive,63,90100000.0,76.4,1638094,20.03,32112,90.1
Square Enix,97,83500000.0,79.7,1167413,25.41,19824,83.5
Game Science,3,80000000.0,89.3,1161869,20.0,15004,80.0
MY.GAMES,4,77850000.0,67.5,112638,0.0,1280,77.85
Pocketpair,3,76850000.0,83.1,404168,23.32,18028,76.85
Smartly Dressed Games,1,75000000.0,91.2,555368,0.0,10408,75.0
CD PROJEKT RED,8,73650000.0,79.4,1737642,23.12,22265,73.65
Devolver Digital,84,72625000.0,86.4,1230190,15.47,1535,72.62
Grinding Gear Games,2,70000000.0,79.7,404112,15.0,16727,70.0
PlayStation Publishing LLC,19,68050000.0,87.2,1896036,52.62,53399,68.05
Coffee Stain Publishing,11,56050000.0,90.7,1221044,10.76,14439,56.05
THQ Nordic,92,53350000.0,77.5,500313,20.47,599,53.35
Wargaming Group Limited,4,53000000.0,77.4,387655,0.0,8518,53.0
Gaijin Network Ltd,7,51500000.0,73.4,907048,7.85,50478,51.5
Deep Silver,29,50675000.0,73.7,748919,20.75,7073,50.68
"FromSoftware, Inc., Bandai Namco Entertainment",4,49500000.0,88.5,1665423,49.99,163599,49.5
"2K, Aspyr (Mac), Aspyr (Linux)",4,46500000.0,83.8,871981,34.69,25420,46.5
Bohemia Interactive,21,46450000.0,70.0,815895,10.61,37066,46.45
Warner Bros. Games,6,46250000.0,72.6,582580,30.41,5716,46.25
Larian Studios,7,46200000.0,83.7,998274,33.85,54771,46.2
Starbreeze Entertainment,4,42350000.0,72.3,764654,7.48,27254,42.35
BANDAI NAMCO Entertainment,46,41100000.0,80.5,656960,23.65,599,41.1
Hi-Rez Studios,7,40850000.0,71.8,553789,0.0,4975,40.85
Focus Entertainment,56,40825000.0,74.9,771494,14.75,8156,40.83
"Studio Wildcard, Snail Games USA",2,38500000.0,71.4,806165,29.99,22170,38.5
Behaviour Interactive Inc.,7,36900000.0,71.9,829011,11.48,44886,36.9
Innersloth,3,36650000.0,88.5,754141,9.99,3832,36.65
Digital Extremes,3,36100000.0,74.9,630572,3.33,36195,36.1
Ravenscourt,5,35925000.0,85.1,477316,8.99,664,35.92
Facepunch Studios,2,35150000.0,85.0,1228930,20.0,143870,35.15
Re-Logic,2,35150000.0,84.2,1410356,12.49,24580,35.15
Daybreak Game Company,9,35000000.0,67.0,386014,0.0,1010,35.0
Endnight Games Ltd,1,35000000.0,95.5,627791,19.99,2892,35.0
Eleventh Hour Games,1,35000000.0,79.6,110623,34.99,5831,35.0
Bungie,1,35000000.0,79.6,625616,0.0,24619,35.0
ConcernedApe,1,35000000.0,98.4,886195,14.99,50662,35.0
Wallpaper Engine Team,1,35000000.0,98.0,894458,3.99,91184,35.0
VRChat Inc.,1,35000000.0,75.6,240355,0.0,34699,35.0
tinyBuild,52,33675000.0,83.8,362692,6.23,941,33.67
KONAMI,17,32000000.0,80.1,424992,25.58,13404,32.0
Raw Fury,33,31875000.0,85.9,182767,8.92,4395,31.88
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",10,29750000.0,86.5,462071,34.79,4507,29.75
Bandai Namco Entertainment,21,29500000.0,78.0,576018,38.72,4409,29.5
Team17,28,28650000.0,84.0,538373,12.85,3380,28.65
Daedalic Entertainment,58,28450000.0,81.0,309569,15.44,2371,28.45
Curve Games,24,27475000.0,80.6,338010,10.51,950,27.48
Klei Entertainment,11,26750000.0,90.1,784275,16.99,30542,26.75
Capcom,26,25350000.0,78.4,395088,18.07,673,25.35
TaleWorlds Entertainment,4,24750000.0,91.5,450802,22.49,14477,24.75
Warner Bros. Interactive Entertainment,21,23875000.0,83.7,258562,12.75,616,23.88
Back To Basics Gaming,38,23175000.0,53.0,23919,1.46,24,23.18
VALOFE,8,22950000.0,62.4,134288,0.0,291,22.95
Landfall,8,22550000.0,91.1,542892,3.92,1299,22.55
Techland,2,22500000.0,87.2,652462,42.49,4953,22.5
Rebellion,21,21900000.0,79.9,212315,16.9,1538,21.9
SCS Software,6,20850000.0,85.2,1054687,10.82,17281,20.85
Crytek,6,20400000.0,77.0,286162,19.99,6300,20.4
505 Games,31,20100000.0,75.1,350936,20.15,2002,20.1
Tripwire Interactive,13,18950000.0,84.1,342738,17.3,4508,18.95
"Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",2,18500000.0,89.8,73927,24.48,153,18.5
Axolot Games,2,18500000.0,92.8,459642,19.99,4701,18.5
gamigo US Inc.,2,18500000.0,77.2,103613,0.0,758,18.5
WB Games,9,18175000.0,85.0,455845,16.43,1587,18.18
Gearbox Publishing,11,17500000.0,79.6,440466,30.9,7902,17.5
Supergiant Games,5,16750000.0,94.6,420895,21.99,2253,16.75
11 bit studios,15,16650000.0,82.8,319206,15.4,1699,16.65
Crate Entertainment,2,16500000.0,89.8,119234,29.99,2376,16.5
"KOEI TECMO GAMES CO., LTD.",36,16175000.0,75.2,244046,45.41,1827,16.18
semiwork,2,15350000.0,96.6,189931,4.74,32349,15.35
Funcom,14,15350000.0,78.7,174468,16.64,5677,15.35
Zeekerss,2,15350000.0,97.8,489225,7.49,6199,15.35
Annapurna Interactive,20,15225000.0,88.9,426433,12.19,928,15.22
NetEase Games Global,1,15000000.0,69.5,324927,0.0,66954,15.0
Newnight ,1,15000000.0,87.8,253546,29.99,4450,15.0
Crazy Rocks Studios,1,15000000.0,57.6,1634,1.99,1,15.0
Psyonix LLC,1,15000000.0,87.4,583220,0.0,21106,15.0
Owlcat Games,1,15000000.0,85.6,30805,49.99,3582,15.0
Scott Cawthon,8,15000000.0,92.7,201553,4.62,200,15.0
Megame LLC,1,15000000.0,82.6,322,14.99,3,15.0
TLM Partners,1,15000000.0,67.6,142763,0.0,0,15.0
TVGS,1,15000000.0,98.4,204041,19.99,22757,15.0
Kinetic Games,1,15000000.0,95.8,768779,19.99,9978,15.0
TCH Scarlet Limited,1,15000000.0,74.5,99837,0.0,0,15.0
The Indie Stone,1,15000000.0,94.2,377063,19.99,22864,15.0
